	ancestry	location	n_sample_location	n_sample_ancestry	n_ancestry_location	perc_ancestry_location
3169	Hispanic	chr3_126540	2	3	4	0.6666666666666666
3172	Hispanic	chr3_155309	2	3	4	0.6666666666666666
3174	Hispanic	chr3_176966	2	3	4	0.6666666666666666
3180	Hispanic	chr3_72211	3	3	4	1.0
3182	Hispanic	chr3_85548	2	3	4	0.6666666666666666
3155	Hispanic	chr2_241517	3	3	4	1.0
3233	Hispanic	chr6_167687	3	3	4	1.0
3235	Hispanic	chr6_170184	2	3	4	0.6666666666666666
3236	Hispanic	chr6_2376	2	3	4	0.6666666666666666
3286	Hispanic	chr8_37645	2	3	4	0.6666666666666666
3287	Hispanic	chr8_40821	2	3	4	0.6666666666666666
3288	Hispanic	chr8_41901	3	3	4	1.0
3289	Hispanic	chr8_47764	3	3	4	1.0
3290	Hispanic	chr8_48174	3	3	4	1.0
3292	Hispanic	chr8_53594	2	3	4	0.6666666666666666
3296	Hispanic	chr8_65041	2	3	4	0.6666666666666666
3300	Hispanic	chr9_121896	2	3	4	0.6666666666666666
3284	Hispanic	chr8_29820	2	3	4	0.6666666666666666
3302	Hispanic	chr9_123348	2	3	4	0.6666666666666666
3305	Hispanic	chr9_134714	2	3	4	0.6666666666666666
3306	Hispanic	chr9_2782	2	3	4	0.6666666666666666
3307	Hispanic	chr9_36764	3	3	4	1.0
3311	Hispanic	chr9_88974	2	3	4	0.6666666666666666
3315	Hispanic	chr9_93619	2	3	4	0.6666666666666666
3318	Hispanic	chrX_140724	2	3	4	0.6666666666666666
3320	Hispanic	chrX_153383	2	3	4	0.6666666666666666
3333	Hispanic	chrY_10893	2	3	4	0.6666666666666666
3303	Hispanic	chr9_131964	2	3	4	0.6666666666666666
3123	Hispanic	chr21_7916	3	3	4	1.0
3283	Hispanic	chr8_27438	2	3	4	0.6666666666666666
3280	Hispanic	chr8_17796	3	3	4	1.0
3242	Hispanic	chr6_3777	3	3	4	1.0
3243	Hispanic	chr6_39845	2	3	4	0.6666666666666666
3245	Hispanic	chr6_44320	2	3	4	0.6666666666666666
3246	Hispanic	chr6_47467	2	3	4	0.6666666666666666
3248	Hispanic	chr7_102933	3	3	4	1.0
3252	Hispanic	chr7_131655	2	3	4	0.6666666666666666
3254	Hispanic	chr7_155318	2	3	4	0.6666666666666666
3255	Hispanic	chr7_155891	2	3	4	0.6666666666666666
3282	Hispanic	chr8_21767	2	3	4	0.6666666666666666
3256	Hispanic	chr7_156101	3	3	4	1.0
3259	Hispanic	chr7_31657	3	3	4	1.0
3265	Hispanic	chr7_99220	2	3	4	0.6666666666666666
3267	Hispanic	chr8_130898	3	3	4	1.0
3269	Hispanic	chr8_1337	2	3	4	0.6666666666666666
3271	Hispanic	chr8_138806	2	3	4	0.6666666666666666
3272	Hispanic	chr8_139158	3	3	4	1.0
3277	Hispanic	chr8_142432	3	3	4	1.0
3278	Hispanic	chr8_142502	3	3	4	1.0
3257	Hispanic	chr7_158595	2	3	4	0.6666666666666666
3121	Hispanic	chr21_41673	3	3	4	1.0
3120	Hispanic	chr21_38914	3	3	4	1.0
3118	Hispanic	chr21_38060	3	3	4	1.0
2981	Hispanic	chr12_130055	2	3	4	0.6666666666666666
2982	Hispanic	chr12_132167	3	3	4	1.0
2983	Hispanic	chr12_132743	3	3	4	1.0
2987	Hispanic	chr12_57192	2	3	4	0.6666666666666666
2991	Hispanic	chr13_111435	3	3	4	1.0
2992	Hispanic	chr13_111622	2	3	4	0.6666666666666666
2994	Hispanic	chr13_112973	3	3	4	1.0
2997	Hispanic	chr13_19068	2	3	4	0.6666666666666666
2979	Hispanic	chr12_121053	2	3	4	0.6666666666666666
2998	Hispanic	chr13_22679	2	3	4	0.6666666666666666
3004	Hispanic	chr14_100527	3	3	4	1.0
3005	Hispanic	chr14_16105	2	3	4	0.6666666666666666
3006	Hispanic	chr14_34047	3	3	4	1.0
3007	Hispanic	chr14_82288	3	3	4	1.0
3010	Hispanic	chr15_17084	2	3	4	0.6666666666666666
3013	Hispanic	chr15_26893	2	3	4	0.6666666666666666
3014	Hispanic	chr15_28915	2	3	4	0.6666666666666666
3017	Hispanic	chr15_33895	2	3	4	0.6666666666666666
3002	Hispanic	chr13_64252	2	3	4	0.6666666666666666
3018	Hispanic	chr15_34347	2	3	4	0.6666666666666666
2977	Hispanic	chr12_110881	2	3	4	0.6666666666666666
2970	Hispanic	chr11_70803	3	3	4	1.0
2940	Hispanic	chr10_46526	2	3	4	0.6666666666666666
2941	Hispanic	chr10_49742	2	3	4	0.6666666666666666
2943	Hispanic	chr10_72423	2	3	4	0.6666666666666666
2945	Hispanic	chr10_84602	2	3	4	0.6666666666666666
2948	Hispanic	chr11_11247	2	3	4	0.6666666666666666
2950	Hispanic	chr11_126633	2	3	4	0.6666666666666666
2951	Hispanic	chr11_126799	3	3	4	1.0
2018	European	chr10_126892	15	22	4	0.6818181818181818
2971	Hispanic	chr11_82644	2	3	4	0.6666666666666666
2953	Hispanic	chr11_133028	2	3	4	0.6666666666666666
2956	Hispanic	chr11_19619	2	3	4	0.6666666666666666
2957	Hispanic	chr11_2188	3	3	4	1.0
2959	Hispanic	chr11_30929	3	3	4	1.0
2960	Hispanic	chr11_33403	2	3	4	0.6666666666666666
2963	Hispanic	chr11_42960	2	3	4	0.6666666666666666
2966	Hispanic	chr11_69111	2	3	4	0.6666666666666666
2967	Hispanic	chr11_69216	2	3	4	0.6666666666666666
2968	Hispanic	chr11_69292	2	3	4	0.6666666666666666
2954	Hispanic	chr11_133354	2	3	4	0.6666666666666666
2934	Hispanic	chr10_25454	2	3	4	0.6666666666666666
3020	Hispanic	chr15_53874	2	3	4	0.6666666666666666
3025	Hispanic	chr15_94052	2	3	4	0.6666666666666666
3081	Hispanic	chr1_223081	2	3	4	0.6666666666666666
3082	Hispanic	chr1_230332	3	3	4	1.0
3085	Hispanic	chr1_25530	3	3	4	1.0
3086	Hispanic	chr1_27086	2	3	4	0.6666666666666666
3089	Hispanic	chr1_34541	3	3	4	1.0
3091	Hispanic	chr1_50369	2	3	4	0.6666666666666666
3094	Hispanic	chr1_8277	2	3	4	0.6666666666666666
3099	Hispanic	chr20_25602	2	3	4	0.6666666666666666
3080	Hispanic	chr1_20464	2	3	4	0.6666666666666666
3100	Hispanic	chr20_28729	2	3	4	0.6666666666666666
3104	Hispanic	chr20_36315	2	3	4	0.6666666666666666
3107	Hispanic	chr20_44405	2	3	4	0.6666666666666666
3110	Hispanic	chr20_57975	2	3	4	0.6666666666666666
3111	Hispanic	chr20_58520	2	3	4	0.6666666666666666
3112	Hispanic	chr20_61337	3	3	4	1.0
3113	Hispanic	chr20_61444	3	3	4	1.0
3116	Hispanic	chr21_23928	2	3	4	0.6666666666666666
3117	Hispanic	chr21_37708	3	3	4	1.0
3102	Hispanic	chr20_31162	2	3	4	0.6666666666666666
3023	Hispanic	chr15_83695	2	3	4	0.6666666666666666
3078	Hispanic	chr1_182138	2	3	4	0.6666666666666666
3075	Hispanic	chr1_168395	3	3	4	1.0
3026	Hispanic	chr16_10040	2	3	4	0.6666666666666666
3031	Hispanic	chr16_86014	3	3	4	1.0
3032	Hispanic	chr16_87502	3	3	4	1.0
3049	Hispanic	chr18_13982	3	3	4	1.0
3053	Hispanic	chr18_37284	2	3	4	0.6666666666666666
3055	Hispanic	chr18_61645	2	3	4	0.6666666666666666
3056	Hispanic	chr18_63103	2	3	4	0.6666666666666666
3059	Hispanic	chr18_78238	2	3	4	0.6666666666666666
3077	Hispanic	chr1_18050	2	3	4	0.6666666666666666
3060	Hispanic	chr18_79542	2	3	4	0.6666666666666666
3062	Hispanic	chr19_14596	2	3	4	0.6666666666666666
3063	Hispanic	chr19_1550	2	3	4	0.6666666666666666
3064	Hispanic	chr19_29010	3	3	4	1.0
3065	Hispanic	chr19_33250	3	3	4	1.0
3066	Hispanic	chr19_33459	3	3	4	1.0
3067	Hispanic	chr19_38554	2	3	4	0.6666666666666666
3072	Hispanic	chr1_11374	2	3	4	0.6666666666666666
3074	Hispanic	chr1_14493	2	3	4	0.6666666666666666
3061	Hispanic	chr18_855	3	3	4	1.0
2952	Hispanic	chr11_132126	2	3	4	0.6666666666666666
1866	Asian	chr8_20622	10	19	4	0.5263157894736842
1939	Asian	chrX_140724	16	19	4	0.8421052631578947
695	African	chr4_156848	20	24	4	0.8333333333333334
696	African	chr4_157983	22	24	4	0.9166666666666666
702	African	chr4_175199	13	24	4	0.5416666666666666
706	African	chr4_179432	14	24	4	0.5833333333333334
713	African	chr4_38734	21	24	4	0.875
714	African	chr4_38754	17	24	4	0.7083333333333334
728	African	chr4_7131	23	24	4	0.9583333333333334
694	African	chr4_155349	18	24	4	0.75
733	African	chr4_79784	15	24	4	0.625
780	African	chr6_104267	18	24	4	0.75
782	African	chr6_11492	19	24	4	0.7916666666666666
783	African	chr6_116048	19	24	4	0.7916666666666666
786	African	chr6_150269	13	24	4	0.5416666666666666
787	African	chr6_157238	14	24	4	0.5833333333333334
790	African	chr6_159605	15	24	4	0.625
796	African	chr6_165678	19	24	4	0.7916666666666666
760	African	chr5_42090	21	24	4	0.875
693	African	chr4_138867	22	24	4	0.9166666666666666
681	African	chr4_101164	20	24	4	0.8333333333333334
674	African	chr3_72211	19	24	4	0.7916666666666666
574	African	chr22_49277	18	24	4	0.75
581	African	chr2_119694	13	24	4	0.5416666666666666
588	African	chr2_133504	16	24	4	0.6666666666666666
589	African	chr2_14274	16	24	4	0.6666666666666666
596	African	chr2_218083	20	24	4	0.8333333333333334
601	African	chr2_234515	23	24	4	0.9583333333333334
602	African	chr2_235169	21	24	4	0.875
604	African	chr2_236888	23	24	4	0.9583333333333334
614	African	chr2_241517	22	24	4	0.9166666666666666
618	African	chr2_2750	24	24	4	1.0
620	African	chr2_3046	13	24	4	0.5416666666666666
626	African	chr2_4974	15	24	4	0.625
638	African	chr2_98660	23	24	4	0.9583333333333334
640	African	chr3_103594	17	24	4	0.7083333333333334
649	African	chr3_126540	23	24	4	0.9583333333333334
653	African	chr3_155309	18	24	4	0.75
662	African	chr3_194325	13	24	4	0.5416666666666666
803	African	chr6_167652	16	24	4	0.6666666666666666
571	African	chr22_48605	17	24	4	0.7083333333333334
804	African	chr6_167687	20	24	4	0.8333333333333334
813	African	chr6_2376	21	24	4	0.875
939	African	chr8_52276	17	24	4	0.7083333333333334
941	African	chr8_53594	18	24	4	0.75
945	African	chr8_65041	19	24	4	0.7916666666666666
954	African	chr9_121896	20	24	4	0.8333333333333334
956	African	chr9_123348	22	24	4	0.9166666666666666
962	African	chr9_131964	15	24	4	0.625
976	African	chr9_2782	14	24	4	0.5833333333333334
936	African	chr8_48174	19	24	4	0.7916666666666666
979	African	chr9_36764	20	24	4	0.8333333333333334
989	African	chr9_88974	22	24	4	0.9166666666666666
992	African	chr9_89255	18	24	4	0.75
996	African	chr9_93209	16	24	4	0.6666666666666666
997	African	chr9_93619	15	24	4	0.625
1005	African	chrX_140723	13	24	4	0.5416666666666666
1006	African	chrX_140724	22	24	4	0.9166666666666666
1007	African	chrX_145991	13	24	4	0.5416666666666666
988	African	chr9_87870	14	24	4	0.5833333333333334
935	African	chr8_47764	22	24	4	0.9166666666666666
934	African	chr8_41901	16	24	4	0.6666666666666666
933	African	chr8_40821	23	24	4	0.9583333333333334
825	African	chr6_3777	16	24	4	0.6666666666666666
826	African	chr6_39845	20	24	4	0.8333333333333334
843	African	chr7_102933	17	24	4	0.7083333333333334
851	African	chr7_131655	18	24	4	0.75
860	African	chr7_155891	19	24	4	0.7916666666666666
864	African	chr7_158595	17	24	4	0.7083333333333334
868	African	chr7_31657	19	24	4	0.7916666666666666
873	African	chr7_44329	14	24	4	0.5833333333333334
892	African	chr7_99220	18	24	4	0.75
899	African	chr8_1337	20	24	4	0.8333333333333334
906	African	chr8_139158	18	24	4	0.75
914	African	chr8_142432	18	24	4	0.75
915	African	chr8_142502	22	24	4	0.9166666666666666
921	African	chr8_17796	20	24	4	0.8333333333333334
925	African	chr8_21767	21	24	4	0.875
927	African	chr8_27438	16	24	4	0.6666666666666666
929	African	chr8_29820	21	24	4	0.875
805	African	chr6_168120	14	24	4	0.5833333333333334
1010	African	chrX_153383	21	24	4	0.875
545	African	chr21_9246	17	24	4	0.7083333333333334
523	African	chr21_41673	13	24	4	0.5416666666666666
132	African	chr12_132167	16	24	4	0.6666666666666666
137	African	chr12_132743	18	24	4	0.75
142	African	chr12_2683	18	24	4	0.75
149	African	chr12_57192	22	24	4	0.9166666666666666
156	African	chr13_111435	19	24	4	0.7916666666666666
157	African	chr13_111622	21	24	4	0.875
161	African	chr13_112973	21	24	4	0.875
130	African	chr12_130055	18	24	4	0.75
167	African	chr13_22679	21	24	4	0.875
200	African	chr14_34047	13	24	4	0.5416666666666666
209	African	chr14_82288	16	24	4	0.6666666666666666
226	African	chr15_26893	23	24	4	0.9583333333333334
228	African	chr15_28915	13	24	4	0.5416666666666666
236	African	chr15_53874	17	24	4	0.7083333333333334
245	African	chr15_83695	22	24	4	0.9166666666666666
250	African	chr15_94052	22	24	4	0.9166666666666666
182	African	chr14_100527	14	24	4	0.5833333333333334
126	African	chr12_121053	13	24	4	0.5416666666666666
123	African	chr12_110881	18	24	4	0.75
104	African	chr11_69292	18	24	4	0.75
15	African	chr10_131512	23	24	4	0.9583333333333334
43	African	chr10_46526	23	24	4	0.9583333333333334
45	African	chr10_49742	20	24	4	0.8333333333333334
52	African	chr10_63783	20	24	4	0.8333333333333334
57	African	chr10_84602	20	24	4	0.8333333333333334
71	African	chr11_126633	17	24	4	0.7083333333333334
72	African	chr11_126799	18	24	4	0.75
73	African	chr11_132126	21	24	4	0.875
74	African	chr11_133028	15	24	4	0.625
75	African	chr11_133354	16	24	4	0.6666666666666666
80	African	chr11_2188	17	24	4	0.7083333333333334
83	African	chr11_30929	19	24	4	0.7916666666666666
84	African	chr11_33403	15	24	4	0.625
85	African	chr11_356	14	24	4	0.5833333333333334
86	African	chr11_36055	16	24	4	0.6666666666666666
90	African	chr11_42960	17	24	4	0.7083333333333334
103	African	chr11_69216	15	24	4	0.625
252	African	chr16_10040	19	24	4	0.7916666666666666
530	African	chr21_7916	20	24	4	0.8333333333333334
253	African	chr16_19322	14	24	4	0.5833333333333334
263	African	chr16_86014	17	24	4	0.7083333333333334
408	African	chr1_223081	17	24	4	0.7083333333333334
424	African	chr1_25530	18	24	4	0.75
426	African	chr1_27086	19	24	4	0.7916666666666666
431	African	chr1_34541	17	24	4	0.7083333333333334
433	African	chr1_41425	17	24	4	0.7083333333333334
442	African	chr1_55003	14	24	4	0.5833333333333334
454	African	chr20_22472	22	24	4	0.9166666666666666
405	African	chr1_20464	14	24	4	0.5833333333333334
456	African	chr20_25067	21	24	4	0.875
459	African	chr20_28729	13	24	4	0.5416666666666666
488	African	chr20_58520	18	24	4	0.75
495	African	chr20_61444	24	24	4	1.0
516	African	chr21_37708	18	24	4	0.75
517	African	chr21_38060	17	24	4	0.7083333333333334
518	African	chr21_38508	18	24	4	0.75
519	African	chr21_38914	19	24	4	0.7916666666666666
457	African	chr20_25602	19	24	4	0.7916666666666666
404	African	chr1_204195	17	24	4	0.7083333333333334
397	African	chr1_182138	20	24	4	0.8333333333333334
